seed,optimizer,physical_objective,penalty_value,total_objective,physical_fraction,penalty_fraction,is_penalty_dominated,is_feasible,domain_status
729,Random_Search,3.2999,0.0,3.2998834955782805,1.0,0.0,False,True,VALID
766,Random_Search,3.2774,0.0,3.27740412033399,1.0,0.0,False,True,VALID
803,Random_Search,3.2805,0.0,3.280547373025743,1.0,0.0,False,True,VALID
840,Random_Search,3.2778,0.0,3.2777768997962355,1.0,0.0,False,True,VALID
877,Random_Search,3.2833,0.0,3.283309790744292,1.0,0.0,False,True,VALID
914,Random_Search,3.2816,0.0,3.281594827376962,1.0,0.0,False,True,VALID
951,Random_Search,3.2941,0.0,3.294082994148145,1.0,0.0,False,True,VALID
988,Random_Search,3.2787,0.0,3.27874646568461,1.0,0.0,False,True,VALID
1025,Random_Search,3.2776,0.0,3.2775533125219214,1.0,0.0,False,True,VALID
1062,Random_Search,3.2774,0.0,3.277354317515698,1.0,0.0,False,True,VALID
1099,Random_Search,3.2768,0.0,3.276814628126207,1.0,0.0,False,True,VALID
1136,Random_Search,3.282,0.0,3.281974499397624,1.0,0.0,False,True,VALID
1173,Random_Search,3.2872,0.0,3.287170039870401,1.0,0.0,False,True,VALID
