model,seed,vessel,split,R2,MAE,RMSE,MAPE,sMAPE,Median_AE,P95_error,max_error,bias,training_time,inference_latency,memory_mb,physical_violations
P2 (Physics + ML Residual),1015,Combined Fleet,Chronological Test (20%),0.9515227390254408,244.1859753314347,436.8758975677375,14.912239773382565,14.62382598069754,131.2743774238686,1062.6371965869257,3830.562695333322,-124.7358343211912,2.15,0.02,46.0,0
P1 (Pure Classical ML),1016,Combined Fleet,Chronological Test (20%),0.9392815573057552,265.02880406433417,488.93301143579095,15.683359196713608,15.616350082321564,138.9059028337764,1153.2769083109288,3865.653470045742,-142.4738326808224,1.68,0.02,45.0,0
P2 (Physics + ML Residual),1016,Combined Fleet,Chronological Test (20%),0.9487641167234622,252.78287576268832,449.13423721269976,14.950712403045182,14.957557643112375,135.23916791710965,1117.5376996409968,3883.637644887687,-141.43542401214904,1.65,0.02,46.0,0
P1 (Pure Classical ML),1017,Combined Fleet,Chronological Test (20%),0.9430698423451644,249.67084737777185,473.4348697902572,14.91448694029203,14.788092955776658,125.53824146710168,1153.34389865092,3873.644838625668,-139.79093658997215,1.65,0.02,45.0,0
P2 (Physics + ML Residual),1017,Combined Fleet,Chronological Test (20%),0.9515651689805804,243.1377853069752,436.6846668524896,14.61914728771838,14.483581965476787,131.2180761467996,1100.5948628494875,3938.459592310837,-133.3832690344041,1.67,0.02,46.0,0
P1 (Pure Classical ML),1018,Combined Fleet,Chronological Test (20%),0.9402513309288032,259.8741799676838,485.0127621239426,15.43903641463017,15.389304019904973,136.34094857445842,1154.9863867723932,3885.774850000298,-145.77002518927912,1.67,0.02,45.0,0
P2 (Physics + ML Residual),1018,Combined Fleet,Chronological Test (20%),0.9502634730366568,246.8033865625603,442.5137566799023,14.760261050833744,14.52272553321789,131.79936163552134,1100.8405650472891,3846.2016261077706,-132.10675165232527,1.66,0.02,46.0,0
P1 (Pure Classical ML),1019,Combined Fleet,Chronological Test (20%),0.941564463038735,253.16406441502312,479.6534450369545,15.116108303184348,15.075811629040407,126.18286743462556,1163.656795418984,3885.5441465941976,-144.23250289068054,1.66,0.02,45.0,0
P2 (Physics + ML Residual),1019,Combined Fleet,Chronological Test (20%),0.9514072385009412,245.02551324156255,437.3960318974534,15.029011569384812,14.893575587170677,133.8599790581634,1090.3418657162297,3900.8988002304222,-135.76761480381404,1.67,0.02,46.0,0
P1 (Pure Classical ML),1020,Combined Fleet,Chronological Test (20%),0.9414280403090316,254.3477409146127,480.2130145124641,14.996305020637529,14.964283065820478,127.14169654666192,1130.7763741510662,3871.636693989518,-141.35696819919443,1.65,0.02,45.0,0
P2 (Physics + ML Residual),1020,Combined Fleet,Chronological Test (20%),0.9507850811155808,246.25455484025412,440.1872259335607,14.879203092418528,14.86824705901542,131.33572378865284,1073.8701189010917,3875.05189490984,-136.71367209170637,1.65,0.02,46.0,0
P1 (Pure Classical ML),1021,Combined Fleet,Chronological Test (20%),0.9420176698307338,254.47359753496823,477.7898074369585,15.145425190902328,15.148147903037664,132.10864109050067,1149.6962224352628,3885.2667959844775,-144.07862808531874,1.67,0.02,45.0,0
P2 (Physics + ML Residual),1021,Combined Fleet,Chronological Test (20%),0.949947142589146,248.08018269207756,443.9187472851805,14.783608986712068,14.665301955478451,130.6557275524154,1103.3750219011754,3950.103557966719,-136.74892751698073,1.66,0.02,46.0,0
P1 (Pure Classical ML),1022,Combined Fleet,Chronological Test (20%),0.938383220850888,271.95636496211944,492.5366418612979,16.096800162697118,16.06955902260322,147.37127017033828,1169.967378331731,3896.166983785156,-145.579498674922,1.66,0.02,45.0,0
P2 (Physics + ML Residual),1022,Combined Fleet,Chronological Test (20%),0.948797948893922,255.69220702480635,448.9859261623435,15.387571971195438,15.335995069736152,140.42277761243344,1101.232698884946,3890.092461387742,-135.49717989794885,1.66,0.02,46.0,0
P1 (Pure Classical ML),1023,Combined Fleet,Chronological Test (20%),0.943365608648434,248.3843850804954,472.2034624959525,14.802896795710613,14.749686102225091,125.30307802904628,1151.872989929534,3878.238399092426,-142.40380767402922,1.67,0.02,45.0,0
P2 (Physics + ML Residual),1023,Combined Fleet,Chronological Test (20%),0.951864846753672,241.01855455192288,435.3316349836389,14.590433775503064,14.462701354082467,127.15888214815726,1078.5412987631305,3892.1592247230656,-128.01289779358677,1.66,0.02,46.0,0
P1 (Pure Classical ML),1024,Combined Fleet,Chronological Test (20%),0.9376670721065123,274.4555335396062,495.39065747958574,16.232024548677202,16.16584612160008,153.52573777194073,1164.2267240683684,3839.5392810166254,-151.7282030197479,1.67,0.02,45.0,0
P2 (Physics + ML Residual),1024,Combined Fleet,Chronological Test (20%),0.9477845006778712,257.4355488720441,453.4075694497624,15.332917058994903,15.271307108315275,141.35404284205117,1119.1149798381089,3852.024183084032,-143.97078190014875,1.65,0.02,46.0,0
P1 (Pure Classical ML),1025,Combined Fleet,Chronological Test (20%),0.9429262758175068,251.7674603637261,474.0314481746056,15.047978706533591,14.98686180238176,128.372898684157,1140.5376170142013,3837.8979827876738,-136.12390513576915,1.66,0.02,45.0,0
P2 (Physics + ML Residual),1025,Combined Fleet,Chronological Test (20%),0.9504754280933212,245.94286504013496,441.5698511271476,14.748541924296235,14.694209025202932,131.16499804864657,1110.816386087987,3931.396831579503,-143.203320321864,1.65,0.02,46.0,0
P1 (Pure Classical ML),1026,Combined Fleet,Chronological Test (20%),0.938507206849324,269.5371971294504,492.0408483505437,15.929397702715942,16.057155575588038,149.9805976317778,1166.0768796945226,3873.377613933279,-161.92608261280458,1.67,0.02,45.0,0
P2 (Physics + ML Residual),1026,Combined Fleet,Chronological Test (20%),0.9485125972082704,253.7671670421585,450.23529879950536,15.077846265866334,14.842136367403734,136.8615384178603,1114.5736275289316,3910.005644622906,-145.975591677405,1.66,0.02,46.0,0
P1 (Pure Classical ML),1027,Combined Fleet,Chronological Test (20%),0.9395221211256224,261.2620021230255,487.9634845511401,15.010658765864548,14.928231839636393,134.75229377685628,1170.7611410152667,3839.0299842801487,-153.09501675285836,1.67,0.02,45.0,0
P2 (Physics + ML Residual),1027,Combined Fleet,Chronological Test (20%),0.9482299367952278,256.3301615999625,451.46947939880425,15.266310875603828,15.089002542140872,139.9931020492827,1111.5506603974331,3905.239324081389,-149.43186119134538,1.67,0.02,46.0,0
P1 (Pure Classical ML),1028,Combined Fleet,Chronological Test (20%),0.941581630199371,252.62164970680564,479.5829836959298,14.971689353785091,15.005117902042546,126.04082374658674,1149.6030941935169,3878.020182680824,-144.56236711718518,1.67,0.02,45.0,0
P2 (Physics + ML Residual),1028,Combined Fleet,Chronological Test (20%),0.950773658669098,247.81982061029592,440.23830519404135,15.142732107299684,14.929670767296637,132.22517847519777,1088.5495840214833,3895.0301289764407,-132.923203398116,1.68,0.02,46.0,0
P1 (Pure Classical ML),1029,Combined Fleet,Chronological Test (20%),0.9416807969795444,254.6344627258825,479.1757581889632,15.0225868502517,14.701832066511228,129.3201527532957,1141.9020852640915,3870.900960922164,-137.98443059782565,1.67,0.02,45.0,0
P2 (Physics + ML Residual),1029,Combined Fleet,Chronological Test (20%),0.9499803128783232,246.83978068629705,443.7716292747574,14.978518131527812,14.789830668527069,130.73105415599622,1105.728989551034,3922.939801385433,-131.93549747950456,1.6,0.02,46.0,0
